sample_id,chemistry,condition,path_to_r1
G190M2,ARC-v1,Female_Control,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G190_Mit/220215Wax/10x-5670F/10x-fastqs-L4/D22-1911_S3_L004_R1_001.fastq.gz
G190M2,ARC-v1,Female_Control,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G190/usftp21.novogene.com/raw_data/G190M2/G190M2_CKDL220005041-1a-SI_TT_C6_HGFKCDSX3_S2_L003_R1_001.fastq.gz
G190M3,ARC-v1,Male_GHP_12days,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G190_Mit/220215Wax/10x-5670F/10x-fastqs-L4/D22-1912_S4_L004_R1_001.fastq.gz
G190M3,ARC-v1,Male_GHP_12days,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G190/usftp21.novogene.com/raw_data/G190M3/G190M3_CKDL220005041-1a-SI_TT_D6_HGFKCDSX3_S3_L003_R1_001.fastq.gz
G190M4,ARC-v1,Male_TCPO_14days,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G190_Mit/220215Wax/10x-5670F/10x-fastqs-L4/D22-1910_S2_L004_R1_001.fastq.gz
G190M4,ARC-v1,Male_TCPO_14days,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G190/usftp21.novogene.com/raw_data/G190M4/G190M4_CKDL220005041-1a-SI_TT_B6_HGFKCDSX3_S1_L003_R1_001.fastq.gz
G193M1,ARC-v1,Male,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193/G193_GEX/01.RawData/G193M1/G193M1_CKDL220020240-1A_HCWYNDSX5_S2_L002_R1_001.fastq.gz
G193M1,ARC-v1,Male,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193P/G193P_GEX/01.RawData/G193pM1/G193pM1_CKDL220018410-1A_H3GNFDSX5_S4_L001_R1_001.fastq.gz
G193M2,ARC-v1,Male_TCPO,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193/G193_GEX/01.RawData/G193M2/G193M2_CKDL220020240-1A_HCWYNDSX5_S4_L002_R1_001.fastq.gz
G193M2,ARC-v1,Male_TCPO,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193P/G193P_GEX/01.RawData/G193pM2/G193pM2_CKDL220018410-1A_H3GNFDSX5_S2_L001_R1_001.fastq.gz
G193M3,ARC-v1,Female,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193/G193_GEX/01.RawData/G193M3/G193M3_CKDL220020240-1A_HCWYNDSX5_S3_L002_R1_001.fastq.gz
G193M3,ARC-v1,Female,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193P/G193P_GEX/01.RawData/G193pM3/G193pM3_CKDL220018410-1A_H3GNFDSX5_S3_L001_R1_001.fastq.gz
G193M4,ARC-v1,Female_TCPO,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193/G193_GEX/01.RawData/G193M4/G193M4_CKDL220020240-1A_HCWYNDSX5_S1_L002_R1_001.fastq.gz
G193M4,ARC-v1,Female_TCPO,/net/waxman-server/mnt/data/volume2/Waxman_Illumina_HiSeq_Raw_Data_02/G193P/G193P_GEX/01.RawData/G193pM4/G193pM4_CKDL220018410-1A_H3GNFDSX5_S1_L001_R1_001.fastq.gz
